id,ccode,country,leader,age,tstart,tstop,group,survival_days,status,GDP_trend,GDP_pc,pop_log,polity5,violence
63,160,Argentina,Videla,51,1976,1977,B,1826,0,1.0167571394854849,8.616,7.859913029735234,-9,3
63,160,Argentina,Videla,52,1977,1978,B,1826,0,1.0159441604220651,8.704,7.877678906241787,-9,3
63,160,Argentina,Videla,53,1978,1979,B,1826,0,0.9949132947976878,8.606,7.891764844434835,-9,3
63,160,Argentina,Videla,54,1979,1980,B,1826,0,1.0132514544279252,8.778,7.911940031534684,-9,3
63,160,Argentina,Videla,55,1980,1981,B,1826,0,1.016007011716948,8.81,7.934357291229496,-9,3
64,160,Argentina,Menem,63,1993,1994,A,2346,0,1.224288318000347,11.285,8.159356143925235,7,0
64,160,Argentina,Menem,64,1994,1995,A,2346,0,1.2265819400744442,11.929,8.181132590061603,7,0
64,160,Argentina,Menem,65,1995,1996,A,2346,0,1.179986929612117,12.278,8.197827244355226,7,0
64,160,Argentina,Menem,66,1996,1997,A,2346,0,1.1743345767782163,13.033,8.221109793116677,7,0
64,160,Argentina,Menem,67,1997,1998,A,2346,0,1.154746159324448,13.62,8.234584361612335,7,0
64,160,Argentina,Menem,68,1998,1999,A,2346,0,1.1076514602944725,13.767,8.245518317430244,7,0
65,165,Uruguay,Mendez Manfredini,72,1976,1977,B,1826,0,1.067724513693065,8.936,5.713864809997713,-8,0
65,165,Uruguay,Mendez Manfredini,73,1977,1978,B,1826,0,1.0683057540428733,9.09,5.713022982687651,-8,0
65,165,Uruguay,Mendez Manfredini,74,1978,1979,B,1826,0,1.0903060871968493,9.468,5.721124560962798,-7,0
65,165,Uruguay,Mendez Manfredini,75,1979,1980,B,1826,0,1.1132904440608817,9.933,5.7270952739532754,-7,0
65,165,Uruguay,Mendez Manfredini,76,1980,1981,B,1826,0,1.1178346021211532,10.308,5.737110862104645,-7,0
66,230,Spain,Franco,49,1946,1947,B,13361,0,1.015595552205051,4.311,7.973829568672525,-7,0
66,230,Spain,Franco,50,1947,1948,B,13361,0,1.008135750813575,4.337,7.982393813286044,-7,0
