"","ccode","year","coup","pre_coups","time_since_last_coup","coup_dummy"
"652",235,1957,0,0,7,0
"653",260,1957,0,0,7,0
"654",265,1957,0,0,7,0
"655",290,1957,0,0,7,0
"656",305,1957,0,0,7,0
"657",310,1957,0,0,7,0
"658",315,1957,0,0,7,0
"659",325,1957,0,0,7,0
"660",331,1957,0,0,7,0
"661",339,1957,0,0,7,0
"662",345,1957,0,0,7,0
"663",350,1957,0,0,7,0
"664",355,1957,0,0,7,0
"665",360,1957,0,0,7,0
"666",365,1957,0,0,7,0
"667",375,1957,0,0,7,0
"668",380,1957,0,0,7,0
"669",385,1957,0,0,7,0
"670",390,1957,0,0,7,0
"671",395,1957,0,0,7,0
"672",450,1957,0,0,7,0
"673",452,1957,0,0,0,0
"674",530,1957,0,0,7,0
"675",560,1957,0,0,7,0
"676",600,1957,0,0,1,0
"677",616,1957,0,0,1,0
"678",620,1957,0,0,6,0
"679",625,1957,0,0,1,0
"680",630,1957,0,1,4,1
"681",640,1957,0,0,7,0
"682",645,1957,0,0,7,0
"683",651,1957,0,2,3,1
"684",652,1957,0,2,3,1
"685",660,1957,0,0,7,0
"686",663,1957,1,0,7,0
"687",666,1957,0,0,7,0
"688",670,1957,0,0,7,0
"689",678,1957,0,1,2,1
"690",698,1957,0,0,7,0
"691",700,1957,0,0,7,0
"692",710,1957,0,0,7,0
"693",712,1957,0,0,7,0
"694",713,1957,0,0,7,0
"695",731,1957,0,0,7,0
"696",732,1957,0,0,7,0
"697",740,1957,0,0,7,0
"698",750,1957,0,0,7,0
"699",760,1957,0,0,7,0
"700",770,1957,0,0,7,0
"701",775,1957,0,0,7,0
"702",780,1957,0,0,7,0
"703",790,1957,0,0,7,0
"704",800,1957,2,1,6,1
"705",811,1957,0,0,4,0
"706",812,1957,0,0,3,0
"707",816,1957,0,0,3,0
"708",817,1957,0,0,3,0
"709",820,1957,0,0,0,0
"710",840,1957,0,0,7,0
"711",850,1957,0,0,7,0
"712",900,1957,0,0,7,0
"713",920,1957,0,0,7,0
"714",2,1958,0,0,8,0
"715",20,1958,0,0,8,0
"716",40,1958,0,2,1,1
"717",41,1958,0,3,1,1
"718",42,1958,0,0,8,0
"719",70,1958,0,0,8,0
"720",90,1958,0,3,1,1
"721",91,1958,0,1,2,1
"722",92,1958,0,0,8,0
"723",93,1958,0,0,8,0
"724",94,1958,0,0,8,0
"725",95,1958,0,1,7,1
"726",100,1958,1,2,1,1
"727",101,1958,1,1,6,1
"728",130,1958,0,3,2,1
"729",135,1958,0,2,2,1
"730",140,1958,0,1,3,1
"731",145,1958,1,4,5,1
"732",150,1958,0,2,3,1
"733",155,1958,0,0,8,0
"734",160,1958,0,3,2,1
"735",165,1958,0,0,8,0
"736",200,1958,0,0,8,0
"737",205,1958,0,0,8,0
"738",210,1958,0,0,8,0
"739",211,1958,0,0,8,0
"740",212,1958,0,0,8,0
"741",220,1958,0,0,8,0
"742",221,1958,0,0,8,0
